                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1018,                0.87049,                 1.2736,                0.13554,                0.28571,                 0.0459,                0.01404,                 3.5611,                 3.8076,                 4.2258,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.126,                0.81253,                 1.3755,                      1,                  0.276,                 0.3347,                0.14609,                 2.6884,                 3.1909,                  3.191,               0.001307,               0.001307,               0.001307
                     37,                 1.0529,                0.76704,                 1.3514,                0.54042,                0.57143,                0.39788,                0.20471,                 1.9149,                 1.7763,                 2.6153,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0379,                0.69775,                 1.2455,                0.60076,                0.71429,                0.49959,                0.20599,                 2.2787,                 1.9436,                 2.8776,              0.0012674,              0.0012674,              0.0012674
                     39,                0.96536,                0.70445,                 1.3028,                      1,                0.56693,                0.63069,                 0.2258,                 2.7003,                 1.7765,                 3.2545,              0.0012476,              0.0012476,              0.0012476
                     40,                0.91656,                0.67111,                 1.2557,                0.79274,                0.57143,                0.60874,                0.28741,                 1.9377,                 2.1723,                  2.443,              0.0012278,              0.0012278,              0.0012278
                     41,                0.95634,                0.72817,                 1.2478,                0.79317,                0.57143,                0.55315,                0.17287,                 2.3816,                 2.5869,                 2.7815,               0.001208,               0.001208,               0.001208
                     42,                0.93456,                0.78847,                  1.243,                0.27617,                0.28571,                0.16487,                0.02954,                 3.4539,                 2.2293,                 3.9119,              0.0011882,              0.0011882,              0.0011882
                     43,                0.91888,                0.74361,                 1.2747,                0.70796,                0.42857,                0.41616,                0.06317,                 3.0105,                 2.1784,                 3.3653,              0.0011684,              0.0011684,              0.0011684
                     44,                0.92834,                0.72707,                 1.2281,                0.69571,                0.98162,                0.89157,                0.35613,                 1.9541,                 1.6638,                 2.5647,              0.0011486,              0.0011486,              0.0011486
                     45,                0.91635,                0.63855,                  1.207,                0.77008,                      1,                0.93278,                0.36468,                 1.8901,                 1.4601,                 2.3968,              0.0011288,              0.0011288,              0.0011288
                     46,                0.93268,                0.68613,                 1.2075,                0.85676,                0.85484,                0.89625,                0.26674,                 2.1068,                 1.4907,                 2.4415,               0.001109,               0.001109,               0.001109
                     47,                0.86002,                0.67728,                 1.1691,                0.65883,                0.55464,                0.67542,                0.29683,                 2.0305,                 1.6341,                 2.3622,              0.0010892,              0.0010892,              0.0010892
                     48,                0.87997,                  0.699,                 1.2108,                0.83243,                0.71041,                0.74604,                0.31494,                 1.8626,                 1.6623,                 2.3791,              0.0010694,              0.0010694,              0.0010694
                     49,                0.91415,                0.62389,                 1.1818,                      1,                 0.5601,                 0.6975,                0.39793,                  1.335,                 1.2672,                 1.8978,              0.0010496,              0.0010496,              0.0010496
                     50,                0.81831,                 0.5765,                 1.1343,                0.96247,                0.85714,                0.88382,                0.47522,                 1.6068,                 1.0211,                 1.9471,              0.0010298,              0.0010298,              0.0010298
                     51,                0.78913,                0.65781,                 1.1721,                0.96894,                0.71429,                0.81527,                0.43275,                 1.9538,                 1.2608,                 2.2671,                0.00101,                0.00101,                0.00101
